보증금,월세,전용면적,노후도,해당층,전체층,엘리베이터,위도,경도,지하철역_거리(m),세탁소_거리(m),카페_거리(m),약국_거리(m),대형마트_거리(m),편의점_거리(m),버스정류장_거리(m),남향,풀옵션,is_outlier,outlier_reason,PC1,PC2,cluster_0,cluster_1,cluster_2,cluster_3
200,35.0,23.14,7.0,3,3,0,35.83932495117189,128.75253295898483,340.0,101.0,80.0,258.0,1688.0,39.0,228.0,1,1,0,,-0.35008238329904656,-0.3606175418020856,1,0,0,0
100,32.0,23.14,6.0,4,4,0,35.8394972694718,128.756193307234,468.0,149.0,38.0,100.0,2000.0,38.0,194.0,0,1,0,,-0.5231137723184018,0.14698357750934496,1,0,0,0
150,33.0,23.14,6.0,4,4,0,35.83908753303081,128.75477457810248,357.0,36.0,83.0,100.0,1864.0,109.0,235.0,1,1,0,,-0.3651461832135927,-0.15712450908931322,1,0,0,0
300,40.0,26.45,6.0,3,5,1,35.841507849885105,128.7583561188615,764.0,290.0,92.0,145.0,2267.0,36.0,60.0,1,1,0,,0.010585252456523881,0.36508310779739095,0,0,0,1
200,35.0,23.14,6.0,3,4,0,35.8401738381707,128.756716863726,556.0,215.0,19.0,63.0,2072.0,102.0,125.0,1,1,0,,-0.3227945916301316,0.3517880920259076,1,0,0,0
200,35.0,23.14,6.0,2,4,0,35.839650927618,128.75642024702,494.0,171.0,53.0,76.0,2025.0,53.0,168.0,0,1,0,,-0.4688208325582859,0.18683116610701472,1,0,0,0
200,38.0,26.45,6.0,2,4,0,35.838730296104,128.755171531912,343.0,89.0,34.0,58.0,1884.0,117.0,222.0,1,1,0,,-0.4446893550443273,0.05720969994919336,1,0,0,0
200,42.0,23.14,6.0,2,4,0,35.8391053339625,128.754777404951,359.0,35.0,85.0,102.0,1865.0,107.0,233.0,1,1,0,,-0.3626736237161997,-0.16514802711996357,1,0,0,0
150,32.0,26.45,7.0,2,3,0,35.8397815652292,128.7522565321,393.0,140.0,124.0,306.0,1688.0,38.0,203.0,0,0,0,,0.004049174917020628,-0.4822641156060282,0,0,1,0
100,32.0,34.0,6.0,3,4,0,35.8226851105199,128.757263283958,1563.0,249.0,176.0,318.0,2271.0,130.0,315.0,1,1,0,,0.5482711482979585,-0.1548219055638004,0,0,1,0
100,32.0,34.0,6.0,4,4,0,35.8226851105199,128.757263283958,1563.0,249.0,176.0,318.0,2271.0,130.0,315.0,1,1,0,,0.5482711482979585,-0.1548219055638004,0,0,1,0
100,33.0,30.0,6.0,1,3,0,35.8212893435649,128.756228640919,1694.0,69.0,118.0,163.0,2276.0,55.0,136.0,1,1,0,,-0.18465597887162735,-0.08998204611681132,0,1,0,0
100,30.0,30.0,6.0,1,3,0,35.8212893435649,128.756228640919,1694.0,69.0,118.0,163.0,2276.0,55.0,136.0,1,1,0,,-0.18465597887162735,-0.08998204611681132,0,1,0,0
100,27.0,25.5,6.0,4,4,0,35.8261563251768,128.735757294513,1005.0,101.0,139.0,90.0,760.0,227.0,87.0,1,0,0,,0.2747574596172601,-0.009289873885826786,0,1,0,0
200,35.0,40.0,6.0,2,4,0,35.8220226163625,128.757742927794,1645.0,226.0,215.0,319.0,2346.0,128.0,292.0,1,1,0,,0.5843582265972371,-0.16203520212688566,0,0,1,0
150,35.0,29.75,26.0,1,3,0,35.8388113370622,128.754342753277,312.0,64.0,54.0,92.0,1817.0,85.0,207.0,1,1,0,,-0.5340485671814078,-0.08678686293130064,0,0,1,0
150,32.0,29.75,27.0,1,3,0,35.8399191547018,128.75240564293,407.0,137.0,117.0,304.0,1707.0,57.0,183.0,1,1,0,,-0.03578174666213667,-0.495985363547963,0,0,1,0
150,30.0,29.75,27.0,1,3,0,35.8399191547018,128.75240564293,407.0,137.0,117.0,304.0,1707.0,57.0,183.0,0,1,0,,-0.03578174666213667,-0.495985363547963,0,0,1,0
100,31.0,33.05,27.0,1,3,0,35.8396372080349,128.75314579383,375.0,65.0,43.0,233.0,1753.0,70.0,172.0,1,1,0,,-0.5087927632483578,-0.22498584595202098,0,0,1,0
200,36.0,29.75,11.0,2,3,0,35.8382692602157,128.75026854551,322.0,321.0,130.0,318.0,1454.0,18.0,348.0,1,1,0,,0.30262693011200237,-0.2190688124228657,0,0,1,0
100,24.0,30.0,6.0,3,3,0,35.8209350246449,128.756986596002,1746.0,114.0,163.0,227.0,2355.0,109.0,172.0,1,1,0,,0.25477060927774847,-0.1677740941201245,0,0,1,0
150,32.0,36.36,6.0,3,4,0,35.8412567991202,128.764698356347,1202.0,113.0,53.0,52.0,2787.0,70.0,83.0,1,1,0,,-0.16370455075919368,0.4027227947146753,0,1,0,0
150,35.0,33.05,19.0,1,3,0,35.83736659372098,128.7514255364471,177.0,286.0,35.0,181.0,1515.0,104.0,218.0,1,1,0,,-0.10897916304186905,0.08793774030390873,0,0,1,0
150,32.0,20.0,6.0,3,3,0,35.8429280801082,128.755610114606,780.0,151.0,76.0,377.0,2122.0,140.0,248.0,1,1,0,,0.07828377131813279,-0.14197266861281846,1,0,0,0
100,27.0,27.0,6.0,3,4,0,35.8234871028861,128.753871606094,1425.0,139.0,173.0,289.0,1964.0,188.0,225.0,1,1,0,,0.42609685191882024,-0.22508359674387138,0,0,1,0
100,20.0,26.45,6.0,4,4,0,35.8383906317526,128.764628660042,1087.0,213.0,117.0,311.0,2693.0,105.0,27.0,1,1,0,,0.28620523178146323,0.17551988153364037,0,1,0,0
100,26.0,40.0,6.0,2,4,0,35.826258389293,128.727637283352,869.0,431.0,87.0,179.0,1032.0,137.0,152.0,1,0,0,,0.2972394346651302,0.07260778545434239,0,1,0,0
200,37.0,39.67,6.0,2,4,0,35.8097727727184,128.759394575472,3005.0,119.0,28.0,110.0,3362.0,75.0,135.0,1,1,0,,0.11897892726652723,0.3998213569951702,0,1,0,0
200,37.0,39.67,6.0,2,4,0,35.8146785529927,128.753589965468,2403.0,215.0,86.0,260.0,2608.0,110.0,94.0,0,0,0,,0.11669112183817042,0.28764392882610756,0,1,0,0
200,43.0,23.14,6.0,4,4,0,35.836833084903,128.751867313671,109.0,308.0,26.0,131.0,1535.0,146.0,175.0,1,1,0,,0.011355827697326385,0.1860611103418531,1,0,0,0
200,37.0,26.45,6.0,2,4,0,35.837686182582,128.75208339349,172.0,219.0,53.0,147.0,1583.0,52.0,173.0,1,1,0,,-0.3400280817210067,-0.02859093955186195,1,0,0,0
200,37.0,30.0,6.0,2,4,0,35.8372434676927,128.752385623607,116.0,246.0,32.0,96.0,1593.0,105.0,130.0,1,1,0,,-0.24441201714068717,0.13823130707628276,1,0,0,0
100,35.0,26.45,6.0,1,3,0,35.838167907989295,128.75085440468092,277.0,276.0,81.0,268.0,1498.0,43.0,296.0,1,1,0,,-0.0003105405838715889,-0.1728203244884661,0,0,1,0
200,33.0,23.14,6.0,3,4,0,35.8400589135422,128.756077977503,511.0,158.0,62.0,108.0,2014.0,51.0,184.0,1,1,0,,-0.47265481140276394,0.09783531795640689,1,0,0,0
200,35.0,39.67,6.0,3,3,0,35.8217877144126,128.757655206755,1668.0,204.0,212.0,302.0,2353.0,117.0,270.0,1,1,0,,0.5559456422180351,-0.17891736184017737,0,0,1,0
300,40.0,36.3,6.0,3,4,0,35.8217132856433,128.758129225336,1688.0,238.0,255.0,341.0,2394.0,160.0,302.0,0,1,0,,0.5521198907238838,-0.07106621871987699,0,0,1,0
100,28.0,25.5,6.0,2,3,0,35.840482791565,128.753184990027,469.0,148.0,118.0,303.0,1798.0,101.0,89.0,1,0,0,,0.05608462773365421,-0.45746857971643984,0,0,1,0
150,28.0,33.06,6.0,3,3,0,35.8416575081029,128.751534717912,610.0,325.0,166.0,497.0,1736.0,70.0,177.0,0,1,0,,0.5681220809170843,-0.28757883928011196,0,0,1,0
100,28.0,29.75,6.0,1,3,0,35.8428437694685,128.754380220341,743.0,152.0,177.0,425.0,2023.0,152.0,193.0,1,1,0,,0.5128382933656765,-0.3256413944215041,0,0,1,0
200,35.0,26.45,6.0,2,3,0,35.8388276039833,128.754715952571,329.0,61.0,63.0,74.0,1849.0,117.0,219.0,0,1,0,,-0.4090866220703813,-0.06752425493453744,1,0,0,0
200,35.0,20.0,6.0,3,4,0,35.8398100288197,128.762434433632,949.0,241.0,39.0,198.0,2543.0,202.0,68.0,1,1,0,,0.19576625842348955,0.31906277651650816,0,1,0,0
100,30.0,23.14,6.0,3,3,0,35.8378354646324,128.758334037256,523.0,381.0,84.0,169.0,2127.0,152.0,252.0,1,1,0,,0.2932912304426681,0.3729532707920065,1,0,0,0
100,25.0,26.45,6.0,3,3,0,35.843480016794935,128.74745172266725,938.0,65.0,108.0,901.0,1587.0,39.0,48.0,0,1,0,,0.3178977016547446,0.028755748695030985,1,0,0,0
200,35.0,20.0,6.0,1,3,0,35.8391617112148,128.752736367882,321.0,81.0,55.0,233.0,1698.0,63.0,235.0,0,1,0,,-0.4833630896700747,-0.2800926676189708,1,0,0,0
200,35.0,20.0,6.0,1,3,0,35.8394751077968,128.752725003588,356.0,88.0,77.0,252.0,1711.0,53.0,204.0,0,1,0,,-0.3860863581913178,-0.36142945766474843,1,0,0,0
200,33.0,26.45,6.0,3,3,0,35.8389809379276,128.754144629484,322.0,52.0,30.0,118.0,1807.0,63.0,222.0,0,1,0,,-0.5800521960018981,-0.05902684689356255,1,0,0,0
150,32.0,26.45,6.0,2,4,0,35.8386689234398,128.758481141697,573.0,362.0,94.0,87.0,2165.0,104.0,159.0,1,1,0,,0.1932962580707552,0.4574785288823379,0,1,0,0
200,35.0,26.45,6.0,3,3,0,35.8394776528494,128.753581859678,362.0,31.0,0.0,193.0,1782.0,48.0,179.0,0,1,0,,-0.4856601338661159,-0.04975919763926267,1,0,0,0
200,38.0,26.45,6.0,3,3,0,35.8373442163169,128.75145846562,173.0,285.0,38.0,177.0,1517.0,105.0,215.0,0,1,0,,-0.10747103107373751,0.08272186144138521,1,0,0,0
200,38.0,26.45,6.0,1,3,0,35.8385084277393,128.754524549135,290.0,94.0,61.0,57.0,1821.0,114.0,180.0,1,1,0,,-0.41629059250898914,-0.0269647656683889,1,0,0,0
150,36.0,29.75,11.0,3,3,0,35.8388276039833,128.754715952571,329.0,61.0,63.0,74.0,1849.0,117.0,219.0,1,1,0,,-0.40908662207038116,-0.06752425493453741,1,0,0,0
200,35.0,29.75,13.0,4,4,0,35.8387171285435,128.75527715104,348.0,97.0,34.0,59.0,1892.0,109.0,224.0,1,1,0,,-0.47361925584337533,0.06711447889699063,1,0,0,0
100,30.0,29.75,26.0,2,3,0,35.8412074083334,128.752399014115,550.0,249.0,220.0,409.0,1776.0,30.0,132.0,1,1,0,,0.5436153652444049,-0.31113701687862877,0,0,1,0
100,27.0,29.75,7.134969325153374,2,3,0,35.8411683218776,128.752002061001,549.0,264.0,232.0,428.0,1743.0,31.0,168.0,1,1,0,,0.5511474108695293,-0.2709724634160105,0,0,1,0
