보증금,월세,전용면적,노후도,해당층,전체층,엘리베이터,위도,경도,지하철역_거리(m),세탁소_거리(m),카페_거리(m),약국_거리(m),대형마트_거리(m),편의점_거리(m),버스정류장_거리(m),남향,풀옵션,is_outlier,outlier_reason
500,36.0,49.59,6.0,3,4,True,35.811284448162304,128.76005686058278,2854.0,135.0,77.0,81.0,3275.0,102.0,77.0,False,False,True,보증금_high 전용면적_high
1000,45.0,50.0,6.0,3,4,True,35.81724753950234,128.75800229776786,2166.0,250.0,82.0,437.0,2679.0,46.0,108.0,True,True,True,보증금_high 전용면적_high
200,35.0,50.0,6.0,2,4,False,35.8139121837332,128.730862099957,2251.0,162.0,143.0,169.0,2162.0,120.0,160.0,True,False,True,전용면적_high
200,35.0,49.56,6.0,3,4,False,35.816053075972,128.763072091114,2430.0,309.0,123.0,627.0,3118.0,254.0,93.0,True,True,True,전용면적_high
1000,40.0,45.5,6.0,3,4,False,35.8095717205163,128.759844596884,3036.0,112.0,49.0,98.0,3405.0,112.0,132.0,True,True,True,보증금_high 전용면적_high
500,45.0,49.56,6.0,3,4,True,35.8112838256423,128.760056293683,2854.0,135.0,77.0,81.0,3275.0,103.0,77.0,True,False,True,보증금_high 전용면적_high
1000,35.0,49.56,6.0,3,4,False,35.8110823102147,128.760180950181,2878.0,126.0,99.0,86.0,3299.0,126.0,52.0,False,False,True,보증금_high 전용면적_high
300,40.0,50.0,6.0,2,4,False,35.8097374808418,128.759238475581,3007.0,114.0,24.0,124.0,3356.0,72.0,148.0,True,False,True,전용면적_high
500,45.0,49.59,6.0,3,4,False,35.817441218768,128.75808667108,2147.0,263.0,94.0,443.0,2671.0,69.0,104.0,True,False,True,보증금_high 전용면적_high
2000,30.0,56.2,6.0,4,4,False,35.8172737868734,128.748265827404,1981.0,351.0,183.0,405.0,2092.0,202.0,196.0,False,False,True,보증금_high 전용면적_high
900,66.0,40.2,6.0,11,15,True,35.8336558461309,128.736283083887,434.0,362.0,77.0,109.0,102.0,107.0,44.0,True,False,True,월세_high 보증금_high
100,29.0,49.59,6.0,3,4,False,35.8222075097867,128.739843400709,1328.0,256.0,203.0,244.0,1261.0,219.0,194.0,True,False,True,전용면적_high
500,43.0,35.5,6.0,2,4,False,35.8247232052924,128.739375502564,1054.0,386.0,107.0,168.0,983.0,36.0,89.0,True,False,True,보증금_high
1000,55.0,49.56,6.0,3,4,True,35.8208731868864,128.73451533545,1567.0,74.0,32.0,153.0,1350.0,91.0,178.0,True,False,True,월세_high 보증금_high 전용면적_high
1000,39.0,49.0,6.0,2,4,False,35.8205589238034,128.749956914579,1706.0,79.0,110.0,336.0,1899.0,114.0,161.0,True,False,True,보증금_high 전용면적_high
500,51.0,59.5,6.0,2,4,False,35.8095022830291,128.759171003505,3031.0,88.0,13.0,144.0,3372.0,88.0,167.0,True,True,True,월세_high 보증금_high 전용면적_high
300,47.0,49.59,6.0,2,4,False,35.8097727727184,128.759394575472,3005.0,119.0,28.0,110.0,3362.0,75.0,135.0,True,True,True,전용면적_high
