보증금,월세,전용면적,노후도,해당층,전체층,엘리베이터,위도,경도,지하철역_거리(m),세탁소_거리(m),카페_거리(m),약국_거리(m),대형마트_거리(m),편의점_거리(m),버스정류장_거리(m),남향,풀옵션,is_outlier,outlier_reason,PC1,PC2,PC3,PC4,cluster
100,27.0,25.5,6.0,4,4,False,35.8261563251768,128.735757294513,1005.0,101.0,139.0,90.0,760.0,227.0,87.0,True,False,False,,0.10356135116173985,-0.558609214817864,-0.15834358542509325,2.8290191499430324,2
200,35.0,40.0,6.0,2,4,False,35.8220226163625,128.757742927794,1645.0,226.0,215.0,319.0,2346.0,128.0,292.0,True,True,False,,1.7771861243885294,-0.6566276528702644,2.2541602642736622,-0.5864113145295426,3
150,35.0,29.75,26.0,1,3,False,35.8388113370622,128.754342753277,312.0,64.0,54.0,92.0,1817.0,85.0,207.0,True,True,False,,-1.642056414623608,-0.08142432773935616,0.5161190904112481,0.5822434835111935,3
150,32.0,29.75,27.0,1,3,False,35.8399191547018,128.75240564293,407.0,137.0,117.0,304.0,1707.0,57.0,183.0,True,True,False,,-0.6219568509683224,-0.7523835366345984,0.3121805030800214,-0.13699573261714323,3
150,30.0,29.75,27.0,1,3,False,35.8399191547018,128.75240564293,407.0,137.0,117.0,304.0,1707.0,57.0,183.0,False,True,False,,-0.6219568509683224,-0.7523835366345984,0.3121805030800214,-0.13699573261714323,1
100,31.0,33.05,27.0,1,3,False,35.8396372080349,128.75314579383,375.0,65.0,43.0,233.0,1753.0,70.0,172.0,True,True,False,,-1.3982647248593982,-0.06046930139272674,0.027449736800814903,0.5077073865759972,3
200,36.0,29.75,11.0,2,3,False,35.8382692602157,128.75026854551,322.0,321.0,130.0,318.0,1454.0,18.0,348.0,True,True,False,,-0.6272181350259461,-2.545401324555131,0.8569735739938221,-1.4575021659515812,3
100,24.0,30.0,6.0,3,3,False,35.8209350246449,128.756986596002,1746.0,114.0,163.0,227.0,2355.0,109.0,172.0,True,True,False,,0.9458160239626431,0.8283878625001645,1.4767579596079359,0.006201334148570839,3
150,32.0,36.36,6.0,3,4,False,35.8412567991202,128.764698356347,1202.0,113.0,53.0,52.0,2787.0,70.0,83.0,True,True,False,,-0.5384079496437536,2.3526515526155984,0.04674681373228523,-0.1807969432324696,3
150,35.0,33.05,19.0,1,3,False,35.83736659372098,128.7514255364471,177.0,286.0,35.0,181.0,1515.0,104.0,218.0,True,True,False,,-0.9974157271016173,-1.0667531497456617,-0.71126698705304,0.22987480005370545,3
150,32.0,20.0,6.0,3,3,False,35.8429280801082,128.755610114606,780.0,151.0,76.0,377.0,2122.0,140.0,248.0,True,True,False,,0.28737312999159054,-0.5126867126570441,0.6920839738229578,0.47694040999638665,3
